"{u'room': 0.1516795878012794}","{u'hear': 0.15002017206870338}","{u'night': 0.14475040589092822}","{u'noise': 0.10770507088801508}","{u'door': 0.09660492510929715}","{u'loud': 0.08341929739639588}","{u'people': 0.08023501315280408}","{u'rooms': 0.06657847016444203}","{u'morning': 0.05982868454950446}","{u'thin': 0.05917837297863009}"
"{u'hotel': 0.24817186693874901}","{u'review': 0.18195479639256243}","{u'reviews': 0.11309716781846046}","{u'write': 0.08421352539003182}","{u'stay': 0.07572311573104225}","{u'people': 0.07523562809511941}","{u'place': 0.06938577646404526}","{u'bad': 0.05439553165941775}","{u'experience': 0.04911441560358692}","{u'home': 0.04870817590698454}"
"{u'room': 0.43694707039968245}","{u'rooms': 0.10479685887923962}","{u'told': 0.09043854810842147}","{u'hotel': 0.06287812013072748}","{u'booked': 0.060780838782181004}","{u'ready': 0.05739292275760594}","{u'asked': 0.05442177418049844}","{u'floor': 0.04502434044566523}","{u'arrived': 0.044768902332701234}","{u'check': 0.04255062398327709}"
"{u'hotel': 0.20204965248412976}","{u'great': 0.13619483184751388}","{u'stay': 0.13578489704311167}","{u'city': 0.13431395450966838}","{u'york': 0.0998794309398817}","{u'location': 0.0736918310821868}","{u'time': 0.06428744439295934}","{u'place': 0.058210763762997}","{u'perfect': 0.049023401381982475}","{u'experience': 0.04656379255556914}"
"{u'wine': 0.15729608884278498}","{u'room': 0.1270820914804922}","{u'nice': 0.10948196634438412}","{u'water': 0.10767613420943888}","{u'complimentary': 0.09845830450568854}","{u'free': 0.0956282690703266}","{u'bottle': 0.08476632354222313}","{u'evening': 0.08250229519393358}","{u'breakfast': 0.07045443005482128}","{u'day': 0.06665409675590668}"
"{u'restaurants': 0.2823434799106923}","{u'shops': 0.10493802939935683}","{u'great': 0.09629745539098104}","{u'area': 0.08020878478262522}","{u'hotel': 0.08011104073275671}","{u'bars': 0.07868397760467656}","{u'nearby': 0.07596669301833213}","{u'walking': 0.06758025353961446}","{u'good': 0.06728702139000894}","{u'places': 0.06658326423095572}"
"{u'stayed': 0.17283271037789966}","{u'years': 0.15379575988313954}","{u'hotel': 0.14416107683584697}","{u'times': 0.13714635145930937}","{u'time': 0.08582476127976187}","{u'ago': 0.07542944536031461}","{u'year': 0.07352786317992792}","{u'stay': 0.07042194561862965}","{u'past': 0.04434914105643877}","{u'hotels': 0.04251094494873164}"
"{u'square': 0.1475146872212505}","{u'union': 0.14234811080799117}","{u'wharf': 0.14079559277247974}","{u'cable': 0.1219108651929801}","{u'car': 0.10758188725866973}","{u'walk': 0.09521264520525083}","{u'street': 0.06932886090828165}","{u""fisherman's"": 0.06484946460910114}","{u'blocks': 0.06024281273323938}","{u'location': 0.050215073290755745}"
"{u'hotel': 0.27408444230177464}","{u'recommend': 0.26837590121873184}","{u'stay': 0.18066292649058702}","{u'highly': 0.09625097769307121}","{u'friends': 0.04281406920702257}","{u'staying': 0.03636093580880025}","{u'recommended': 0.026606776479948833}","{u'place': 0.025638806470215485}","{u'back': 0.025440248519500948}","{u'london': 0.02376491581034708}"
"{u'hotel': 0.24685728808678375}","{u'website': 0.15152942435971817}","{u'booked': 0.1135554127102003}","{u'room': 0.0900900924081534}","{u'booking': 0.08980201369908809}","{u'book': 0.06526294548143413}","{u'rate': 0.06337733938573392}","{u'site': 0.06154411123713651}","{u'reservation': 0.06117746560741703}","{u'travel': 0.056803907024334625}"
"{u'night': 0.1738013922499745}","{u'rate': 0.13841499474581628}","{u'room': 0.12041694299999692}","{u'hotel': 0.09809232376609459}","{u'price': 0.09537209705271993}","{u'deal': 0.08873568188129727}","{u'good': 0.07997702086883664}","{u'great': 0.07541595107787655}","{u'paid': 0.06818155503411723}","{u'breakfast': 0.06159204032327001}"
"{u'room': 0.16545054415948043}","{u'dirty': 0.14392556029432246}","{u'bed': 0.14155416376680505}","{u'bathroom': 0.12491790505068291}","{u'floor': 0.09106165924243438}","{u'shower': 0.07763590659433582}","{u'carpet': 0.07205400399879484}","{u'stains': 0.062130621606721996}","{u'toilet': 0.06107261392521423}","{u'clean': 0.0601970213612078}"
"{u'room': 0.3170404102894337}","{u'bed': 0.16034351048874143}","{u'small': 0.10506247867609574}","{u'double': 0.09765049675708179}","{u'beds': 0.08799353954528956}","{u'size': 0.055174138836578755}","{u'space': 0.05448520461974733}","{u'single': 0.049033121765857265}","{u'rooms': 0.037546925426616105}","{u'bathroom': 0.03567017359455809}"
"{u'room': 0.3541521209317132}","{u'suite': 0.16388244351361678}","{u'floor': 0.09205681321277065}","{u'upgraded': 0.08823236852731388}","{u'rooms': 0.0665368198655777}","{u'upgrade': 0.05773633190908053}","{u'king': 0.04947610007915346}","{u'deluxe': 0.0440166697474977}","{u'booked': 0.04317785102466517}","{u'tower': 0.04073248118861103}"
"{u'room': 0.2881697018324715}","{u'key': 0.15844383653381433}","{u'door': 0.15381076991600515}","{u'security': 0.0801768409215111}","{u'hotel': 0.06465076271373832}","{u'card': 0.059345724601743075}","{u'safe': 0.05527852871588005}","{u'work': 0.05046862749433769}","{u'open': 0.04809904380431315}","{u'back': 0.04155616346618567}"
"{u'reviews': 0.3341132463903734}","{u'hotel': 0.20676988919647227}","{u'read': 0.09377747604268552}","{u'trip': 0.07514393803012583}","{u'reading': 0.06523157648463174}","{u'tripadvisor': 0.04994470131146631}","{u'stay': 0.04710854636282709}","{u'advisor': 0.04481126085442932}","{u'based': 0.04319465253370496}","{u'booked': 0.03990471279328346}"
"{u'hotel': 0.20267517832690263}","{u'quiet': 0.17164255538286746}","{u'area': 0.1291064601406123}","{u'city': 0.11005885019565277}","{u'bustle': 0.07399680215379117}","{u'nice': 0.07158909864951257}","{u'hustle': 0.06666668259632079}","{u'located': 0.06276085246715774}","{u'neighborhood': 0.059069040427263894}","{u'middle': 0.05243447965991844}"
"{u'walk': 0.1840560969679414}","{u'street': 0.1263011120497458}","{u'park': 0.12068073593859403}","{u'tube': 0.11944425319414063}","{u'london': 0.08967874130948088}","{u'station': 0.08637396015612364}","{u'minutes': 0.07666195023605338}","{u'location': 0.07205324182490894}","{u'oxford': 0.06324049208262296}","{u'museum': 0.06150941624038821}"
"{u'hotel': 0.19199380332749644}","{u'modern': 0.1433276837000347}","{u'lobby': 0.10911302764487409}","{u'decor': 0.10092287580513051}","{u'rooms': 0.08854862465595276}","{u'beautiful': 0.08231698738658265}","{u'style': 0.08053651959533403}","{u'decorated': 0.07222766990284057}","{u'room': 0.06575863692797065}","{u'feel': 0.06525417105378356}"
"{u'desk': 0.2957393598024697}","{u'front': 0.24720607322510346}","{u'room': 0.12008143911676916}","{u'told': 0.07459467954021959}","{u'called': 0.05566699941138348}","{u'asked': 0.04998115446431478}","{u'back': 0.045139891260046736}","{u'minutes': 0.0426815551158234}","{u'call': 0.0365281738468472}","{u'check': 0.03238067421702256}"
"{u'staff': 0.26581009060045224}","{u'friendly': 0.2532032279797418}","{u'helpful': 0.22919049472417213}","{u'extremely': 0.04030785571861244}","{u'polite': 0.03845306927892505}","{u'efficient': 0.037479484059625534}","{u'pleasant': 0.03667645391523981}","{u'nice': 0.03566733638866659}","{u'clean': 0.03161665335946425}","{u'courteous': 0.03159533397510003}"
